property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,BHK,Location,Other,servant,Store,Pooja,luxury_score,Furnished,carpet12,Build,Super_area
flat,maa bhagwati residency,0.45,5000,2,2,1,4,moderate,2,Krishna Colony,0,0,0,0,28,1,899.969679,1012.526436,1125.490664
flat,apna enclave,0.5,7692,2,2,1,1,very old,2,Ashok Vihar,0,0,0,0,37,0,650.031921,731.3296431,812.9216742
flat,tulsiani easy in homes,0.4,6722,2,2,3,12,new,2,Sohna,0,0,0,0,36,1,595.028392,669.4469725,744.1349586
flat,smart world orchard,1.47,12250,2,2,2,2,new,2,Sector 61,0,0,0,0,76,1,1199.959572,1350.035248,1500.654218
flat,parkwood westend,0.7,5204,2,2,3,5,under construction,2,Sector 92,0,0,0,0,0,1,1075.45414,1209.958261,1344.949305
flat,signature global infinity mall,0.41,6269,2,2,3,3,unknown,2,Sector 36,0,0,0,0,0,1,581.3115158,654.014564,726.9808072
flat,the cocoon,2,13333,3,3,3,5,new,3,Dwarka Expressway,0,0,0,0,0,1,1199.396034,1349.40123,1499.949465
flat,ats triumph,1.8,7860,3,4,3,14,new,3,Sector 104,0,0,0,0,60,1,2290.019725,2576.426255,2863.869617
flat,vatika xpressions,1.1,8148,2,4,3+,2,under construction,2,Sector 88B,0,0,0,0,58,1,1050.018445,1350.008338,1500.624306
flat,raheja revanta,4.75,16885,3,3,2,31,new,3,Sector 78,0,1,0,0,100,1,2500.328366,2813.037626,3126.878936
flat,signature global city 81,0.96,9767,2,2,2,1,under construction,2,Sector 81,0,0,0,0,49,1,1074.990693,1209.436851,1344.369723
flat,hcbs sports ville,0.29,5587,2,2,1,4,moderate,2,Sohna,0,0,0,0,44,1,519.035258,583.9495842,649.0989092
flat,supertech araville,1.35,6940,3,3,3,4,moderate,3,Sector 79,0,0,0,0,0,1,1945.03673,2188.297177,2432.43826
flat,godrej,0.95,6859,2,2,3+,3,under construction,2,Sector 33,0,0,0,0,0,1,1107.472463,1245.981028,1384.991013
flat,shree vardhman flora,0.7,5384,2,2,3,13,new,2,Sector 90,0,0,0,0,15,1,1039.476563,1169.481066,1299.956203
flat,sobha city,3.95,16859,4,5,3,25,unknown,4,Sector 108,0,0,0,0,0,1,2300.030152,2342.978113,2604.376437
flat,senate court,0.9,14084,1,1,0,0,unknown,1,Sector 62,0,0,0,0,0,1,568.0129147,639.052743,710.3497453
flat,shapoorji pallonji joyville gurugram,1.05,11475,2,2,2,0,under construction,2,Sector 102,0,0,0,0,49,1,915.039139,1029.480592,1144.336339
flat,signature global orchard avenue 2,,,2,2,3,11,under construction,2,Sector 93,0,0,0,0,104,1,577.160318,649.3441872,721.7893719
flat,central park flower valley,2.2,10476,3,3,3,12,new,3,Sector-33 Sohna,0,1,0,0,49,0,1679.240519,1889.258557,2100.03689
flat,smart world gems,1.01,9156,2,2,2,4,under construction,2,Sector 89,0,0,0,0,38,1,1102.976833,1240.923142,1379.368835
flat,bestech altura,1.85,8604,3,4,3+,11,new,3,Sector 79,0,1,0,0,49,1,1719.177351,1934.19018,2149.981386
flat,smart world gems,0.86,7796,2,3,3,4,new,2,Sector 89,0,0,0,0,0,1,881.967073,992.272293,1102.976833
flat,emaar imperial gardens,1.85,9135,3,3,3+,0,moderate,3,Sector 102,0,1,0,0,95,0,2025.012507,2278.275306,2532.454952
flat,la vida by tata housing,2.85,12855,3,3,3+,10,new,3,Sector 113,0,1,0,0,72,1,1772.799434,1994.518632,2217.040483
flat,the serenas,0.42,7910,2,2,1,3,unknown,2,Sector 36,0,0,0,0,0,1,530.983187,597.3918081,664.0408377
